                             component htbin njetbin mhtbin        jet_pt      n   nvar
           QCD_HT700to1000_madgraphMLM   800       3    600  630.95734448      0      0
           QCD_HT700to1000_madgraphMLM   800       3    600 707.945784384      0      0
           QCD_HT700to1000_madgraphMLM   800       3    600 794.328234724      0      0
           QCD_HT700to1000_madgraphMLM   800       6    200           100      0      0
           QCD_HT700to1000_madgraphMLM   800       6    200  112.20184543      0      0
           QCD_HT700to1000_madgraphMLM   800       6    200 125.892541179      0      0
           QCD_HT700to1000_madgraphMLM   800       6    200 141.253754462      0      0
           QCD_HT700to1000_madgraphMLM   800       6    200 158.489319246      0      0
           QCD_HT700to1000_madgraphMLM   800       6    200 177.827941004     10     10
           QCD_HT700to1000_madgraphMLM   800       6    200 199.526231497     10     10
           QCD_HT700to1000_madgraphMLM   800       6    200 223.872113857     15     15
           QCD_HT700to1000_madgraphMLM   800       6    200 251.188643151     18     18
           QCD_HT700to1000_madgraphMLM   800       6    200 281.838293126     22     22
